NSGAII;DE;SMPSO
98.45090061781104;2.3722509421543236;0.08276155304042732
76.4095667933625;18.57383460892453;0.09469385321142454
141985.96823836962;17152.10251487149;14882.24256590668
23.497017589023756;27.437322881448893;0.7108229911258945
431.97862681914967;0.0;0.0
146.97950793844444;290.38147776116097;87.18662867891504
1.4506696002538035;0.022515351669369466;0.0005383171670985121
1.992791280476311;15.69564050236346;19.88167977635095
1.2675279654977771;1.2853352360758663;1.9895055041445744
5.057510465148425;2.8528168913907166;1.7328131289677913
0.730894725010188;0.2945612433071858;0.7002826601297016
44.77400628422129;28.900671290298874;0.5037130545596256
0.2921806702617289;0.11028443757473383;0.05365580220427546
0.785002337025503;0.2956620735602655;0.13701491244040653
170.9811816254345;152.14722979388944;122.79391895574486
107.46871241853347;100.99662150599431;76.28988673063115
155.41643720682254;129.70601083694424;103.59420557629679
606.5345845671371;221.72986141166376;242.5763956580881
294.7022197498772;220.26172353261086;254.43256331381977
Moyenne Variation Fitness
NSGAII;DE;SMPSO
7587.091451422267;966.5877018511853;831.3159813880799
NSGAII;DE;SMPSO
61.85243431128481;3.4741834239014793;0.15179583752853887
18.41156787247121;19.537152635798975;0.1012208218656383
11923.65121808005;27449.3268331984;9310.8598708912
42.46467096759261;19.202819816087526;2.579811885863137
684.1538407993812;0.0;0.0
103.46144248256218;237.46965764540573;124.03550252405921
0.8809442693791141;0.09108804474934118;0.0002763562647771778
12.792539181543432;14.053698978401101;19.75795009519274
0.998827062221153;1.542822057263777;1.996531438275838
2.2511231097023483;2.4908337358485255;1.9859713629552402
0.5267813806427029;0.5094334220379579;0.1912474740956469
30.470208401793684;41.76492567521615;0.3163348615418613
0.17603141765587793;0.1130951398254183;0.1281636240991304
0.727269758739908;0.5359225085981052;0.23452471025694877
101.56436828022937;127.98241602756958;121.40338912481633
145.61958212013784;94.1029676568171;99.64192845747512
114.17206775716006;136.63371979351214;54.718434694790716
399.8005296097409;364.6467819549698;336.9101848054648
350.07929530440094;205.01533339119732;199.90192019327478
Moyenne Variation Fitness
NSGAII;DE;SMPSO
736.5291969561414;1511.499667637137;540.7850031136325
NSGAII;DE;SMPSO
4264.626568736046;5668.207420965715;2016.922907574683
14467.427225110947;8167.571982024485;5727.065348735149
78752397.33552258;71385366.73279692;28548588.19703951
10916.00088367139;11214.811690454848;8841.675876112198
3394.721699721218;5477.653494510401;11323.545286567369
602080242.8519322;1538680796.5474439;190008622.86287576
25.131612771722985;34.91711887746533;43.69770940348792
0.39397964066624525;0.35427140555705705;0.3280584975026102
34.61839456396507;26.28221624448946;25.450445113765397
33.62033779052007;52.08172853606183;57.83695894946095
2.9106261912990448;2.0576467898458333;3.5594344996679865
19631.59140121237;93752.26052794751;43205.94672874029
6.422668372894279;19.28150127642651;3.1132384484775457
0.26739616460929483;0.3705097470082137;0.7554635638756508
313.77870703758475;141.04246629740612;398.43826866821377
81.37543567795882;205.44624401695228;123.38443070193131
143.17846684946778;206.88722435370096;140.7131684409532
127.1649394651838;95.45731047377353;0.0
86.91801534117462;118.0431340217051;220.14123949219265
Moyenne Variation Fitness
NSGAII;DE;SMPSO
35836114.2282007;84746912.94772255;11506807.559709411
NSGAII;DE;SMPSO
23178.689505907416;41852.212628871435;34142.917640071944
165125.42119304775;116832.28141468356;104009.50754358788
1181288238.382937;2233949907.154572;2294918899.1281686
255440.06883196102;178980.76561931474;151390.38856089665
8067.089837501455;10284.091028704534;11365.979066161606
15357808929.158714;60491903189.45779;21070944160.880928
112.04256465311937;230.7291394905842;233.14069918080168
0.19329912014917738;0.1395356397365788;0.161711775741054
115.56439857961493;131.45547088283013;108.11013764129302
248.4076372204563;253.22097698125845;226.18029165110943
3.3934374654746478;6.604734600446903;9.354555936107971
1453110.7192100617;2382989.057442559;1762628.3120602984
664.2341139601153;2825.7448789662194;30.997747507552518
0.4981865306392592;0.260487896939253;0.6827865128738608
157.17304661982462;166.15057893751236;373.76789359818406
151.6303808426577;242.63194888604403;343.7335957281566
258.50780055835696;348.113957124486;496.02601615299386
88.61103629678223;84.31590631611994;101.74207748397453
100.01099905409956;114.83700675337104;453.81125155700784
Moyenne Variation Fitness
NSGAII;DE;SMPSO
870579157.3577436;3301504654.6960588;1229890998.6748807
